PID,ProductType,ProductName,Manufacturer,Part #,Color
12686,Memory,G.Skill Trident Z 8 GB (2 x 4 GB) DDR4-3466 CL16 Memory (F4-3466C16D-8GTZ),43,F4-3466C16D-8GTZ,50
12687,Memory,Kingston Savage 32 GB (4 x 8 GB) DDR4-2666 CL13 Memory (HX426C13SBK4/32),46,HX426C13SBK4/32,3
12688,Memory,ADATA 8 GB (2 x 4 GB) DDR4-3000 CL16 Memory (AX4U3000W4G16-DGZ),47,AX4U3000W4G16-DGZ,62
12689,Memory,G.Skill Ripjaws V Series 64 GB (4 x 16 GB) DDR4-2400 CL14 Memory (F4-2400C14Q-64GVK),43,F4-2400C14Q-64GVK,1
12690,Memory,G.Skill Ripjaws V Series 32 GB (2 x 16 GB) DDR4-2800 CL15 Memory (F4-2800C15D-32GVR),43,F4-2800C15D-32GVR,9
12691,Memory,G.Skill Ripjaws V Series 64 GB (4 x 16 GB) DDR4-2800 CL15 Memory (F4-2800C15Q-64GVR),43,F4-2800C15Q-64GVR,9
12692,Memory,G.Skill Trident Z 16 GB (4 x 4 GB) DDR4-3600 CL17 Memory (F4-3600C17Q-16GTZ),43,F4-3600C17Q-16GTZ,50
12693,Memory,Corsair Vengeance Performance 16 GB (2 x 8 GB) DDR3-2133 CL11 Memory (CMSX16GX3M2C2133C11),29,CMSX16GX3M2C2133C11,18
12694,Memory,G.Skill Ripjaws V Series 16 GB (1 x 16 GB) DDR4-2800 CL15 Memory (F4-2800C15S-16GVR),43,F4-2800C15S-16GVR,9
12695,Memory,Kingston 4 GB (1 x 4 GB) DDR3-1600 CL11 Memory (D51264KL110S),46,D51264KL110S,16
12696,Memory,G.Skill Trident Z 16 GB (4 x 4 GB) DDR4-3866 CL18 Memory (F4-3866C18Q-16GTZ),43,F4-3866C18Q-16GTZ,50
12697,Memory,G.Skill Trident Z 8 GB (2 x 4 GB) DDR4-4133 CL19 Memory (F4-4133C19D-8GTZ),43,F4-4133C19D-8GTZ,50
12698,Memory,G.Skill Trident Z 8 GB (2 x 4 GB) DDR4-3000 CL15 Memory (F4-3000C15D-8GTZ),43,F4-3000C15D-8GTZ,50
12699,Memory,Crucial Ballistix Tactical 8 GB (2 x 4 GB) DDR4-2666 CL16 Memory (BLT2K4G4D26AFTA),42,BLT2K4G4D26AFTA,31
12700,Memory,Panram Ninja-V 4 GB (1 x 4 GB) DDR4-2400 CL15 Memory (PUD42400C154GNJR),74,PUD42400C154GNJR,50
12701,Memory,AMD R5 Entertainment 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory (R5316G1609U2K),22,R5316G1609U2K,8
12702,Memory,Avexir Raiden 16 GB (2 x 8 GB) DDR4-3000 CL15 Memory (AVD4U30001508G-2RD),62,AVD4U30001508G-2RD,38
12703,Memory,Avexir Raiden 32 GB (4 x 8 GB) DDR4-3000 CL15 Memory (AVD4U30001508G-4RD),62,AVD4U30001508G-4RD,38
12704,Memory,Crucial 4 GB (1 x 4 GB) DDR3-1866 CL13 Memory (CT51264BF186DJ),42,CT51264BF186DJ,16
12705,Memory,GeIL SUPER HERO 8 GB (2 x 4 GB) DDR4-3600 CL17 Memory (GLW48GB3600C17DK),55,GLW48GB3600C17DK,3
12706,Memory,GeIL Dragon RAM Combo 8 GB (2 x 4 GB) DDR4-3466 CL16 Memory (GWW48GB3466C16DK),55,GWW48GB3466C16DK,72
12707,Memory,Panram Ninja-V 16 GB (2 x 8 GB) DDR4-2666 CL16 Memory (PUD42666C168G2NJR),74,PUD42666C168G2NJR,2
12708,Memory,Mushkin 4 GB (2 x 2 GB) DDR2-800 CL4 Memory (996580),56,996580,1
12709,Memory,Corsair Vengeance LPX 64 GB (4 x 16 GB) DDR4-2800 CL15 Memory (CMK64GX4M4B2800C14),29,CMK64GX4M4B2800C14,18
12710,Memory,Mushkin Essentials 16 GB (1 x 16 GB) DDR3-1866 CL13 Memory (MES3S186DM16G28),56,MES3S186DM16G28,17
12711,Memory,Kingston Savage 64 GB (4 x 16 GB) DDR4-2400 CL14 Memory (HX424C14SBK4/64),46,HX424C14SBK4/64,2
12712,Memory,Avexir Blitz1.1 16 GB (2 x 8 GB) DDR4-2800 CL15 Memory (AVD4UZ128001508G-2BZ),62,AVD4UZ128001508G-2BZ,8
12713,Memory,Corsair Vengeance LPX 16 GB (4 x 4 GB) DDR4-3333 CL16 Memory (CMK16GX4M4B3333C16),29,CMK16GX4M4B3333C16,18
12714,Memory,G.Skill Ripjaws Series 64 GB (4 x 16 GB) DDR4-2133 CL15 Memory (F4-2133C15Q-64GRS),43,F4-2133C15Q-64GRS,1
12715,Memory,Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3466 CL16 Memory (CMK16GX4M2B3466C16R),29,CMK16GX4M2B3466C16R,9
12716,Memory,Corsair Vengeance LPX 8 GB (2 x 4 GB) DDR4-3866 CL18 Memory (CMK8GX4M2B3866C18),29,CMK8GX4M2B3866C18,18
12717,Memory,Corsair Vengeance LPX 8 GB (2 x 4 GB) DDR4-3866 CL18 Memory (CMK8GX4M2B3866C18R),29,CMK8GX4M2B3866C18R,9
12718,Memory,GeIL EVO POTENZA 16 GB (2 x 8 GB) DDR4-2133 CL15 Memory (GPR416GB2133C15DC),55,GPR416GB2133C15DC,9
12719,Memory,G.Skill Ripjaws V Series 64 GB (4 x 16 GB) DDR4-2800 CL14 Memory (F4-2800C14Q-64GVK),43,F4-2800C14Q-64GVK,1
12720,Memory,G.Skill Trident Z 32 GB (4 x 8 GB) DDR4-3000 CL14 Memory (F4-3000C14Q-32GTZ),43,F4-3000C14Q-32GTZ,50
12721,Memory,G.Skill Trident Z 32 GB (4 x 8 GB) DDR4-3200 CL14 Memory (F4-3200C14Q-32GTZ),43,F4-3200C14Q-32GTZ,50
12722,Memory,G.Skill Trident Z 64 GB (4 x 16 GB) DDR4-3200 CL15 Memory (F4-3200C15Q-64GTZ),43,F4-3200C15Q-64GTZ,50
12723,Memory,PNY NHS 4 GB (1 x 4 GB) DDR3-1600 CL11 Memory (MD4GSD31600NHS-Z),17,MD4GSD31600NHS-Z,16
12724,Memory,Corsair Vengeance LPX 64 GB (4 x 16 GB) DDR4-3333 CL16 Memory (CMK64GX4M4B3333C16R),29,CMK64GX4M4B3333C16R,9
12725,Memory,Corsair Vengeance LPX 64 GB (8 x 8 GB) DDR4-2800 CL15 Memory (CMK64GX4M8B2800C14),29,CMK64GX4M8B2800C14,18
12726,Memory,G.Skill Ripjaws Series 64 GB (4 x 16 GB) DDR4-2800 CL18 Memory (F4-2800C18Q-64GRS),43,F4-2800C18Q-64GRS,17
12727,Memory,G.Skill Ripjaws V Series 64 GB (4 x 16 GB) DDR4-3000 CL14 Memory (F4-3000C14Q-64GVR),43,F4-3000C14Q-64GVR,9
12728,Memory,G.Skill Ripjaws V Series 64 GB (4 x 16 GB) DDR4-3200 CL15 Memory (F4-3200C15Q-64GVR),43,F4-3200C15Q-64GVR,9
12729,Memory,Corsair Dominator Platinum 32 GB (4 x 8 GB) DDR4-3333 CL16 Memory (CMD32GX4M4B3333C16),29,CMD32GX4M4B3333C16,2
12730,Memory,GeIL POTENZA 32 GB (4 x 8 GB) DDR4-3000 CL16 Memory (GPR432GB3000C16QC),55,GPR432GB3000C16QC,8
12731,Memory,GeIL Dragon RAM 8 GB (2 x 4 GB) DDR4-3466 CL16 Memory (GWW48GB3466C16DC),55,GWW48GB3466C16DC,72
