PID,Chipset,Memory Max,Memory Type,Memory Slots,PCI-E x16 Slots,PCI-E x8 Slots,PCI-E x4 Slots,PCI-E x1 Slots,PCI Slots,M.2 Slots,Mini-PCIe Slots,Half Mini-PCIe Slots,Mini-PCIe / mSATA Slots,mSATA Slots,Onboard Ethernet,SATA 6 Gb/s,Onboard Video,USB 2.0 Headers,USB 2.0 Headers (Single Port),USB 3.2 Gen 1 Headers,USB 3.2 Gen 2 Headers,USB 3.2 Gen 2x2 Headers,Supports ECC,Wireless Networking,RAID Support,Memory Speed Min,Memory Speed Max,Socket,Motherboard Form Factor,PATA 100,SATA 3 Gb/s,U.2,PATA 133,SAS 12 Gb/s,SAS 3 Gb/s,SAS 6 Gb/s,SATA 1.5 Gb/s
70,307,64,0,2,1,0,0,0,0,2280 M-key,0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,1,0,1,0,0,N,Wi-Fi 5,N,2133,3200,1,2,,,,,,,,
71,301,64,0,2,1,0,0,0,0,"2280 M-key
2280 M-key",0,0,0,0,1 x 2.5 Gb/s,4,Depends on CPU,1,0,1,1,0,N,Wi-Fi 6,N,2133,5200,1,2,,,,,,,,
72,299,64,0,2,1,0,0,0,0,"2280 M-key
2230 E-key",0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,1,0,1,0,0,N,Wi-Fi 5,Y,2133,3466,0,2,,,,,,,,
73,299,64,0,4,2,0,0,1,0,2242/2260/2280/22110 M-key,0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,2,0,1,0,0,N,,Y,2133,3200,0,1,,,,,,,,
74,302,128,0,4,3,0,1,0,0,"2242/2260/2280/22110 M-key (Intel Rocket Lake-based CPUs only)
2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 2.5 Gb/s,6,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,Y,2133,5000,1,0,,,,,,,,
75,308,8,1,2,1,0,0,0,2,,0,0,0,0,,,Y,2,0,0,0,0,N,,N,667,800,4,1,1,4,,,,,,
76,304,128,0,4,2,0,0,4,0,"2242/2260/2280 M-key
2230 E-key
2242/2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,1,0,2,0,0,N,,Y,2133,4266,3,0,,,,,,,,
77,298,128,0,4,1,0,0,2,0,"2242/2260/2280/22110 M-key
2242/2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,2,0,1,0,0,N,Wi-Fi 6,Y,2133,4400,0,1,,,,,,,,
78,298,128,0,4,3,0,0,0,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,2 x 2.5 Gb/s,4,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,Y,2133,5400,0,0,,,,,,,,
79,298,128,0,4,3,0,0,0,0,"2242/2260/2280/22110 M-key
2242/2260/2280/22110 M-key",0,0,0,0,1 x 2.5 Gb/s,4,Depends on CPU,2,0,1,1,0,N,Wi-Fi 6,Y,2133,4733,0,0,,,,,,,,
80,301,128,0,4,2,0,0,2,0,"2242/2260/2280 M-key (Intel Rocket Lake-based CPUs only)
2242/2260/2280 M-key
2280/22110 M-key
2230 E-key",0,0,0,0,1 x 1 Gb/s,6,Depends on CPU,1,0,2,1,0,N,,N,2400,4800,1,0,,,,,,,,
81,298,64,0,2,1,0,0,0,0,"2260/2280 M-key
2280 M-key",0,0,0,0,1 x 2.5 Gb/s,4,Depends on CPU,1,0,1,1,0,N,Wi-Fi 6,Y,1866,4600,0,2,,,,,,,,
82,299,64,0,4,2,0,0,1,0,"2242/2260/2280 M-key
2230/2242/2260/2280 M-key",0,0,0,0,1 x 1 Gb/s,4,Depends on CPU,2,0,1,0,0,N,,Y,2133,3200,0,1,,,,,,,,
