PID,Form Factor,Efficiency Rating,Wattage,Length,Modular,Type,Fanless,ATX Connectors,EPS Connectors,PCIe 12-Pin Connectors,PCIe 8-Pin Connectors,PCIe 6+2-Pin Connectors,PCIe 6-Pin Connectors,SATA Connectors,Molex 4-Pin Connectors,Output,Efficiency
23659,7,,1000,180,2,14,N,0,1,0,0,6,0,8,5,,
23660,7,5,400,150,2,14,N,0,1,0,0,2,0,5,2,,
23661,7,5,910,180,2,16,N,0,2,0,0,2,2,12,7,"+5V @ 30A, +12V @ 74A (82A Peak), -12V @ 0.8A, +3.3V @ 24A, +5VSB @ 3A",88%
23662,12,0,300,175,2,21,N,1,0,0,0,0,0,0,0,"+3.3V@10A, +5V@14A, +12V1@18A, +12V2@18A, -12V@0.3A, +5VSB@2A",> 87%
23663,12,4,300,175,2,21,N,1,0,0,0,0,0,2,2,,85%
23664,7,4,500,,0,17,N,1,0,0,0,0,2,4,0,"+3.3V@30A, +5V@28A, +12V1@18A, +12V2@18A, +12V3@16A, -12V@0.8A, +5VSB@3.0A",> 80%
23665,7,1,400,,2,17,Y,1,0,0,0,0,2,4,6,"+3.3V@20A, +5V@14A, +12V1@14A, +12V2@13A, -12V@0.5A, +5VSB@2.5A",> 85%
23666,7,,500,140,2,17,N,1,0,0,0,0,1,4,5,"+3.3V@22A, +5V@16A, +12V1@14A, +12V2@16A, -12V@0.8A, +5VSB@2.5A",> 80%
23667,7,,1200,,2,16,N,1,1,0,0,3,3,8,8,"+3.3V@24A,+5V@30A,+12V@90A,-12V@0.8A,+5VSB@4.0A",83%
23668,7,1,500,160,2,16,N,0,1,0,0,1,1,8,7,"+3.3V@25A,+5V@25A,+12V@36A, -12V@0.3A,+5VSB @ 2.5A",85%
23669,7,,550,,2,17,N,0,1,0,0,1,1,5,4,"+3.3V@25A, +5V@20A, +12V1@19A, +12V2@19A, -12V@0.8A, +5VSB@3.0A",
23670,7,2,550,169,1,16,N,0,1,0,0,2,2,8,5,"+3.3V@20A, +5V@20A, +12V@45.5A, -12V@0.5A, +5VSB@2.5A",89-92%
23671,7,1,300,139,2,17,N,1,0,0,0,0,0,0,0,,> 82%
23672,7,2,500,169,1,16,Y,0,1,0,0,4,0,6,3,"+3.3V@20A, +5V@20A, +12V@41.5A, -12V@0.5A, +5VSB@2.5A",> 89%
23673,7,1,550,,0,14,N,0,2,0,0,1,1,6,6,+3.3V@24.0A ; +5V@15.0A ; +12V@40.0A ; -12V@0.3A ; +5Vsb@2.5A,80%
23674,7,0,500,140,2,14,N,0,1,0,0,2,0,6,4,"+3.3V@20A, +5V@20A, +12V@41.5A, -12V@0.3A, 5Vsb@2.5A",
23675,7,2,1000,180,1,16,N,0,2,0,0,4,0,10,6,"+3.3V@20A,+5V@20A,+12V@83A,-12V@0.5A,+5VSB@2.5A",> 89%
23676,7,2,750,170,1,16,N,0,2,0,0,4,0,8,5,"+3.3V@20A,+5V@20A,+12V@62A,-12V@0.5A,+5VSB@2.5A",> 89%
23677,7,0,1200,160,1,16,N,0,2,0,0,8,0,12,4,"+3.3V@25A,+5V@25A,+12V@100A,-12V@0.3A,+5VSB@3.5A",> 85%
23678,7,0,1000,160,1,16,N,0,2,0,0,8,0,12,4,"+3.3V@25A,+5V@25A,+12V@83A,-12V@0.3A,+5VSB@3.5A",> 85%
23679,7,2,1250,200,0,14,N,0,2,0,0,8,0,14,8,,
23680,7,2,450,160,1,16,N,0,1,0,0,1,0,7,4,16A @ +3.3V DC<br/>16A @ +5V DC<br/>18A @ +12V1 DC<br/>18A @ +12V2 DC<br/>0.3A @ -12V DC<br/>3.0A @ +5Vsb DC Standby,> 92%
23681,7,0,500,160,2,16,N,0,1,0,0,2,0,5,4,"+3.3V@21A, +5V@15A, +12V@40A, -12V@0.3A, +5Vsb@2.5A",
23682,7,1,800,165,1,16,N,0,2,0,0,4,0,12,4,"+3.3V@24A, +5V@24A, +12V@65A, -12V@0.3A, +5Vsb@2.5A",< 88%
23683,7,1,700,165,1,16,N,0,1,0,0,4,0,9,4,"+3.3V@24A, +5V@24A, +12V@58A, -12V@0.3A, +5Vsb@2.5A",< 88%
23684,7,1,450,160,1,16,N,0,1,0,0,2,0,5,4,"+3.3V@21A, +5V@15A, +12V@37.5A, -12V@0.3A, +5Vsb@2.5A",< 88%
23685,9,,750,146,2,18,N,0,1,0,0,1,1,5,5,"+3.3V@24A, +5V@32A, +12V@55A, -12V@0.5A, +5VSB@2.2A",> 72%
23686,7,0,1000,165,2,16,N,0,1,0,0,6,0,9,2,"+3.3V@20A, +5V@20A, +12V@80A, -12V@0.5A, +5VSB@2.5A",
23687,7,4,1000,165,1,16,N,1,1,0,0,2,2,0,0,,> 80%
23688,7,0,750,140,1,14,N,0,1,0,0,4,0,8,6,+3.3V@25A<br/>+5V@22A<br/>+12V@62A<br/>-12V@0.3A<br/>+5Vsb@2.5A,90% @ Typical Load
23689,7,0,550,140,1,14,N,0,1,0,0,2,0,6,3,+3.3V@20A<br/>+5V@20A<br/>+12V@45A<br/>-12V@0.3A<br/>+5Vsb@2.5A,90% @ Typical Load
23690,7,,300,,2,17,N,1,0,0,0,0,0,3,4,"+3.3V@15A, +5V@15A, +12V@17A, -12V@0.6A, +5VSB@2.0A",< 78%
23691,7,,650,160,2,17,N,0,1,0,0,1,1,4,4,"+3.3V@24A, +5V@24A, +12V1@22A, +12V2@22A, -12V@0.5A, +5VSB@2.5A",
23692,7,,600,140,2,16,N,0,1,0,0,2,2,6,3,"+3.3V@26A, +5V@28A, +12V1@18A, +12V2@22A, -12V@0.5A, +VSB@2.5A",
23693,7,0,1050,180,0,16,N,0,2,0,0,8,0,12,11,,
23694,7,1,650,139,2,17,N,0,1,0,0,2,0,6,2,"+3.3V@24A, +5V@15A, +12V1@30A, +12V2@22A, +12VCombined@576W, -12V@0.3A, +5VSB@3A",
23695,7,0,500,165,2,17,N,0,1,0,0,2,0,5,2,"+3.3V@20A, +5V@20A, +12V@41.5A, -12V@0.5A, +5VSB@2.5A",
23696,7,0,550,160,1,14,N,0,1,0,0,4,0,8,4,,
23697,7,0,750,160,1,14,N,0,2,0,0,4,0,11,6,,
23698,7,0,650,165,2,17,N,0,1,0,0,2,0,6,2,"+3.3V@20A, +5V@20A, +12V@54A, -12V@0.5A, +5VSB@2.5A",
23699,7,4,700,165,1,16,N,1,1,0,2,0,2,6,6,"+3.3V@24A, +5V@20A, +12V1@30A, +12V2@30A, -12V@0.5A, +5VSB@2.5A",Up to 87% Efficiency
23700,7,,500,150,2,17,N,0,0,0,0,0,0,0,0,"+3.3V@28A, +5V@38A, +12V@20A, -12V@0.8A, +5VSB@2.0A",
23701,7,0,650,140,0,14,N,0,1,0,0,4,0,8,4,"+3.3V@20A, +5V@20A, +12V@54A, -12V@0.3A, +5VSB@2.5A",
23702,7,4,850,180,2,16,N,0,1,0,0,2,2,8,5,"+3.3V@24A, +5V@24A, +12V@70A, -12V@0.5A, +5VSB@3.0A",> 80%
23703,7,,600,165,0,17,N,0,1,0,0,1,1,6,5,"+3.3V@24A, +5V@32A, +12V1@21A, +12V2@22A, -12V@0.6A, +5VSB@2.0A",> 78%
23704,7,0,1000,180,0,16,N,0,2,0,0,3,3,10,7,"+3.3V@24A, +5V@24A, +12V@83A, -12V@0.5A, +5VSB@3.0A",> 90%
23705,7,,400,165,2,17,N,0,1,0,0,0,1,4,4,"+3.3V@19A, +5V@24A, +12V1@14A, +12V2@15A, -12V@0.6A, +5VSB@2.0A",> 78%
23706,7,,700,165,2,16,N,0,1,0,0,2,2,6,6,"+3.3V@24A, +5V@30A, +12V1@18A, +12V2@18A, +12V3@18A, +12V4@20A, -12V@0.5A, +5VSB@2.2A",> 78%
23707,7,,500,165,0,17,N,0,1,0,0,1,1,4,4,"+3.3V@23A, +5V@28A, +12V1@17A, +12V2@18A, -12V@0.6A, +5VSB@2.0A",> 78%
23708,7,1,1000,180,2,16,N,0,1,0,0,2,2,8,5,"+3.3V@24A, +5V@24A, +12V@83A, +5VSB@5A, -12V@0.5A, +5VSB@3A",> 80%
