PID,Height,Fanless,Fan RPM Min,Fan RPM Max,Noise Level Min,Noise Level Max,Bearing,Water Cooler Radiator
28618,,N,2000,,40,,,280
28619,47,N,600,2500,30,,,
28620,47,N,2600,,24.5,,,
28621,75.4,N,1500,,14.8,25.5,,
28622,,N,500,2000,21,36,,240
28623,164,N,500,1200,29.2,,,
28624,,N,500,1400,19.8,24.7,,360
28625,,N,650,1800,8,30,,360
28626,125,N,300,1600,13.1,17.6,,
28627,,N,1300,2500,22,39,,120
28628,,N,500,2200,18,34.2,,240
28629,155,N,800,1800,14,26,,
28630,,N,1000,2000,21.8,33,,360
28631,136,N,800,2200,16,23,,
28632,163,N,300,1600,9,31,,
28633,157,N,1550,,25.6,,,
28634,,N,1800,,30.8,,,240
28635,,N,600,1500,,,,420
28636,157,N,1550,,25.6,,,
28637,,N,500,2000,32.2,,,360
28638,157.5,N,500,1650,27.8,,,
28639,153,N,400,1500,22.1,28.8,,
28640,,N,400,1600,39.8,,,280
28641,69,Y,,,0,,,
28642,,N,,,,,,120
28643,157.5,N,500,1650,27.8,,,
28644,53,N,900,2000,,,2,
28645,155,N,500,1800,17.2,33.6,,
28646,75,N,600,2400,30,,,
28647,160,N,750,1600,12,26.7,,
28648,61,N,1900,2300,22,,0,
28649,,N,550,2200,36.4,,,280
28650,157,N,200,2100,28,,,
28651,152,N,1800,,15.1,31.6,1,
28652,,N,600,2200,7.4,35.6,,240
28653,,N,1500,,28.2,,,120
28654,130,N,2200,,24.7,,,
28655,,N,500,2200,18,34.2,,360
28656,157,N,200,1800,,,,
28657,,N,2100,,43,,,280
28658,,N,700,1500,18,26.4,,360
28659,,N,2000,,27,,,240
28660,160,N,600,1800,26.2,,,
28661,,N,200,1800,22.5,,,360
28662,,N,800,2500,37.6,,,120
28663,164,N,500,1200,31.5,,,
28664,153.5,N,300,1500,26.33,,,
28665,66,N,900,2200,10,22.5,,
28666,,N,700,1800,18,35.2,,240
28667,166,N,1800,,35,,,
28668,,N,2200,,17.7,39.8,,360
28669,165,N,200,1800,23.5,,,
28670,,N,1700,,30.32,,,120
28671,160,N,500,1600,14,24,,
28672,,N,2435,,37.7,,,240
28673,32,N,2700,,22.4,,,
28674,161,N,400,1400,11.5,23.7,1,
28675,,N,800,2500,7.9,37.6,,240
28676,154,N,700,1800,15.2,35.2,,
28677,140,N,800,2800,33.4,,0,
28678,,N,500,1800,32.1,,,240
28679,,N,500,2000,36.4,,,280
28680,,N,500,2000,17,32.6,,120
28681,155,N,1500,,19.1,26.8,0,
28682,,N,,,18.9,36.1,,120
28683,123,N,1750,,20,,,
28684,,N,800,2500,37.6,,,240
28685,158,N,2000,,9,36,,
28686,66,N,400,1800,28,,,
28687,163,N,600,2000,18,31,,
28688,,N,600,2200,7.4,35.6,,360
28689,125,N,600,2200,26.4,,,
28690,,N,500,1800,17.8,,,240
28691,,N,500,2000,18,39.1,,280
28692,,N,500,2000,32.2,,,360
28693,,N,700,1800,18,35.2,,240
28694,65,N,600,2500,14.8,23.6,,
28695,,N,500,2000,32.7,,,240
28696,,N,2300,,8.06,44.4,,280
28697,,N,1300,2500,22,39,,240
28698,158,N,300,1500,18.6,22.4,,
28699,,N,400,1800,28,,,120
28700,,N,800,2500,37,,,120
28701,,N,700,1500,18,26.4,,360
28702,,N,500,2200,18,34.2,,360
28703,,N,500,2000,17,32.6,,240
28704,,N,200,1800,22.5,,,240
28705,157.5,N,300,1500,4,29.75,,
28706,157,N,1550,,25.6,,,
28707,65,N,100,2000,,,,
28708,144,N,900,1600,17.8,21,,
28709,166,N,200,1800,,,,
28710,160,N,750,1600,12,26.7,,
28711,154,N,900,2000,16.2,31.5,,
28712,,N,500,1700,32.7,,,280
28713,89,N,900,2200,10,23.5,,
28714,163,N,600,1600,9,31,,
